Timestamp	Source IP	Destination IP	Source Port	Destination Port	Protocol	Action	Message
2024-09-17 00:00:01	192.168.1.10	10.0.0.1	12345	80	TCP	ALLOW	HTTP traffic allowed
2024-09-17 00:01:12	192.168.1.10	10.0.0.2	12346	22	TCP	DENY	SSH traffic blocked
2024-09-17 00:02:30	192.168.1.11	10.0.0.3	12347	443	TCP	ALLOW	HTTPS traffic allowed
2024-09-17 00:03:45	192.168.1.12	10.0.0.4	12348	21	TCP	DENY	FTP traffic blocked
2024-09-17 00:04:58	192.168.1.13	10.0.0.5	12349	53	UDP	ALLOW	DNS query allowed
2024-09-17 00:06:12	192.168.1.14	10.0.0.6	12350	25	TCP	DENY	SMTP traffic blocked
2024-09-17 00:07:25	192.168.1.15	10.0.0.7	12351	110	TCP	ALLOW	POP3 traffic allowed
2024-09-17 00:08:37	192.168.1.16	10.0.0.8	12352	143	TCP	DENY	IMAP traffic blocked
2024-09-17 00:09:50	192.168.1.17	10.0.0.9	12353	3389	TCP	ALLOW	RDP traffic allowed
2024-09-17 00:11:05	192.168.1.18	10.0.0.10	12354	67	UDP	DENY	DHCP traffic blocked
2024-09-17 00:12:17	192.168.1.19	10.0.0.11	12355	68	UDP	ALLOW	DHCP response allowed
2024-09-17 00:13:30	192.168.1.20	10.0.0.12	12356	80	TCP	ALLOW	HTTP traffic allowed
2024-09-17 00:14:42	192.168.1.21	10.0.0.13	12357	22	TCP	DENY	SSH traffic blocked
2024-09-17 00:15:55	192.168.1.22	10.0.0.14	12358	443	TCP	ALLOW	HTTPS traffic allowed
2024-09-17 00:17:10	192.168.1.23	10.0.0.15	12359	21	TCP	DENY	FTP traffic blocked
2024-09-17 00:18:22	192.168.1.24	10.0.0.16	12360	53	UDP	ALLOW	DNS query allowed
2024-09-17 00:19:35	192.168.1.25	10.0.0.17	12361	25	TCP	DENY	SMTP traffic blocked
2024-09-17 00:20:47	192.168.1.26	10.0.0.18	12362	110	TCP	ALLOW	POP3 traffic allowed
2024-09-17 00:21:59	192.168.1.27	10.0.0.19	12363	143	TCP	DENY	IMAP traffic blocked
2024-09-17 00:23:12	192.168.1.28	10.0.0.20	12364	3389	TCP	ALLOW	RDP traffic allowed
2024-09-17 00:24:24	192.168.1.29	10.0.0.21	12365	67	UDP	DENY	DHCP traffic blocked
2024-09-17 00:25:37	192.168.1.30	10.0.0.22	12366	68	UDP	ALLOW	DHCP response allowed
2024-09-17 00:26:50	192.168.1.31	10.0.0.23	12367	80	TCP	ALLOW	HTTP traffic allowed
2024-09-17 00:28:02	192.168.1.32	10.0.0.24	12368	22	TCP	DENY	SSH traffic blocked
2024-09-17 00:29:15	192.168.1.33	10.0.0.25	12369	443	TCP	ALLOW	HTTPS traffic allowed
2024-09-17 00:30:27	192.168.1.34	10.0.0.26	12370	21	TCP	DENY	FTP traffic blocked
2024-09-17 00:31:40	192.168.1.35	10.0.0.27	12371	53	UDP	ALLOW	DNS query allowed
2024-09-17 00:32:52	192.168.1.36	10.0.0.28	12372	25	TCP	DENY	SMTP traffic blocked
2024-09-17 00:34:05	192.168.1.37	10.0.0.29	12373	110	TCP	ALLOW	POP3 traffic allowed
2024-09-17 00:35:17	192.168.1.38	10.0.0.30	12374	143	TCP	DENY	IMAP traffic blocked
2024-09-17 00:36:30	192.168.1.39	10.0.0.31	12375	3389	TCP	ALLOW	RDP traffic allowed
2024-09-17 00:37:42	192.168.1.40	10.0.0.32	12376	67	UDP	DENY	DHCP traffic blocked
2024-09-17 00:38:55	192.168.1.41	10.0.0.33	12377	68	UDP	ALLOW	DHCP response allowed
2024-09-17 00:40:07	192.168.1.42	10.0.0.34	12378	80	TCP	ALLOW	HTTP traffic allowed
2024-09-17 00:41:20	192.168.1.43	10.0.0.35	12379	22	TCP	DENY	SSH traffic blocked
2024-09-17 00:42:32	192.168.1.44	10.0.0.36	12380	443	TCP	ALLOW	HTTPS traffic allowed
2024-09-17 00:43:45	192.168.1.45	10.0.0.37	12381	21	TCP	DENY	FTP traffic blocked
2024-09-17 00:44:57	192.168.1.46	10.0.0.38	12382	53	UDP	ALLOW	DNS query allowed
2024-09-17 00:46:10	192.168.1.47	10.0.0.39	12383	25	TCP	DENY	SMTP traffic blocked
2024-09-17 00:47:22	192.168.1.48	10.0.0.40	12384	110	TCP	ALLOW	POP3 traffic allowed
2024-09-17 00:48:35	192.168.1.49	10.0.0.41	12385	143	TCP	DENY	IMAP traffic blocked
2024-09-17 00:49:47	192.168.1.50	10.0.0.42	12386	3389	TCP	ALLOW	RDP traffic allowed
2024-09-17 00:51:00	192.168.1.51	10.0.0.43	12387	67	UDP	DENY	DHCP traffic blocked
2024-09-17 00:52:12	192.168.1.52	10.0.0.44	12388	68	UDP	ALLOW	DHCP response allowed
2024-09-17 00:53:25	192.168.1.53	10.0.0.45	12389	80	TCP	ALLOW	HTTP traffic allowed
2024-09-17 00:54:37	192.168.1.54	10.0.
